"AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC","LATITUDE","LONGITUDE",
"PPS","Puerto Princesa Airport","Puerto Princesa, Philippines",766,"Philippines","PH","","","",34227,"Puerto Princesa, Philippines",766,9.74194444,118.75972222,
"PPT","Tahiti Faa'a","Papeete, French Polynesia",823,"French Polynesia","PF","","","",34228,"Papeete, French Polynesia",823,-17.54722222,-149.61388889,
"PPT","Tahiti Faa'a","Papeete, French Polynesia",823,"French Polynesia","PF","","","",34228,"Papeete, French Polynesia",823,-17.55361111,-149.60722222,
"PPV","Port Protection Airport","Port Protection, AK",1,"United States","US","Alaska","AK","02",34229,"Port Protection, AK",1,56.32916667,-133.60833333,
"PPZ","Puerto Paez Airport","Puerto Paez, Venezuela",388,"Venezuela","VE","","","",34230,"Puerto Paez, Venezuela",388,6.22611111,-67.44694444,
"PPZ","Puerto Paez Airport","Puerto Paez, Venezuela",388,"Venezuela","VE","","","",34230,"Puerto Paez, Venezuela",388,6.22055556,-67.44916667,
"PQI","Presque Isle Municipal","Presque Isle/Houlton, ME",12,"United States","US","Maine","ME","23",34231,"Presque Isle/Houlton, ME",12,46.68500000,-68.04750000,
"PQI","Northern Maine Regional at Presque Isle","Presque Isle/Houlton, ME",12,"United States","US","Maine","ME","23",34231,"Presque Isle/Houlton, ME",12,46.68888889,-68.04472222,
"PQM","Palenque International","Palenque, Mexico",148,"Mexico","MX","","","",34232,"Palenque, Mexico",148,17.53305556,-92.01555556,
"PQM","Palenque International","Palenque, Mexico",148,"Mexico","MX","","","",34232,"Palenque, Mexico",148,17.53333333,-91.98444444,
"PQM","Palenque International","Palenque, Mexico",148,"Mexico","MX","","","",34232,"Palenque, Mexico",148,17.53333333,-91.98444444,
"PQM","Palenque International","Palenque, Mexico",148,"Mexico","MX","","","",34232,"Palenque, Mexico",148,17.53305556,-92.01555556,
"PQQ","Port Macquarie Airport","Port Macquarie, Australia",802,"Australia","AU","","","",34233,"Port Macquarie, Australia",802,-31.43333333,152.86527778,
"PQQ","Port Macquarie Airport","Port Macquarie, Australia",802,"Australia","AU","","","",34233,"Port Macquarie, Australia",802,-31.43583333,152.86333333,
"PQQ","Port Macquarie Airport","Port Macquarie, Australia",802,"Australia","AU","","","",34233,"Port Macquarie, Australia",802,-31.43333333,152.86527778,
"PQS","Pilot Station Airport","Pilot Station, AK",1,"United States","US","Alaska","AK","02",34234,"Pilot Station, AK",1,61.96138889,-162.94250000,
"PQS","Pilot Station Airport","Pilot Station, AK",1,"United States","US","Alaska","AK","02",34234,"Pilot Station, AK",1,61.93444444,-162.89944444,
"PQS","Pilot Station Airport","Pilot Station, AK",1,"United States","US","Alaska","AK","02",34234,"Pilot Station, AK",1,61.93472222,-162.89055556,
"PRA","General Urquiza","Parana, Argentina",303,"Argentina","AR","","","",34235,"Parana, Argentina",303,-31.79500000,-60.48000000,
"PRA","General Urquiza","Parana, Argentina",303,"Argentina","AR","","","",34235,"Parana, Argentina",303,-31.79472222,-60.48027778,
"PRB","Paso Robles Municipal","Paso Robles, CA",91,"United States","US","California","CA","06",34236,"Paso Robles/San Luis Obispo, CA",91,35.67055556,-120.62583333,
"PRB","Paso Robles Municipal","Paso Robles, CA",91,"United States","US","California","CA","06",34236,"Paso Robles/San Luis Obispo, CA",91,35.67277778,-120.62694444,
"PRC","Prescott Municipal","Prescott, AZ",81,"United States","US","Arizona","AZ","04",34237,"Prescott, AZ",81,34.65000000,-112.42416667,
"PRC","Ernest A. Love Field","Prescott, AZ",81,"United States","US","Arizona","AZ","04",34237,"Prescott, AZ",81,34.65444444,-112.41972222,
"PRC","Ernest A. Love Field","Prescott, AZ",81,"United States","US","Arizona","AZ","04",34237,"Prescott, AZ",81,34.65472222,-112.41916667,
"PRC","Ernest A. Love Field","Prescott, AZ",81,"United States","US","Arizona","AZ","04",34237,"Prescott, AZ",81,34.65444444,-112.41972222,
"PRC","Ernest A. Love Field","Prescott, AZ",81,"United States","US","Arizona","AZ","04",34237,"Prescott, AZ",81,34.65472222,-112.41916667,
"PRD","Pine Ridge Airport","Pine Ridge, SD",67,"United States","US","South Dakota","SD","46",34238,"Pine Ridge, SD",67,43.02361111,-102.51666667,
"PRG","Ruzyne","Prague, Czechoslovakia",417,"Czechoslovakia","","","","",34239,"Prague, Czechoslovakia",417,50.10000000,14.26666667,
"PRG","Ruzyne","Prague, Czech Republic",418,"Czech Republic","CZ","","","",34239,"Prague, Czech Republic",418,50.10000000,14.26666667,
"PRG","Ruzyne","Prague, Czech Republic",418,"Czech Republic","CZ","","","",34239,"Prague, Czech Republic",418,50.10083333,14.26000000,
"PRI","Praslin Airport","Praslin, Seychelles",570,"Seychelles","SC","","","",34240,"Praslin, Seychelles",570,-4.31916667,55.69277778,
"PRI","Praslin Airport","Praslin, Seychelles",570,"Seychelles","SC","","","",34240,"Praslin, Seychelles",570,-4.31916667,55.69166667,
